E번호,단어(Word),출현횟수(Count),절수(Verses),뜻(Meaning),구절주소(References)
E00047,abigail,17,17,,"1Sa 25:3; 1Sa 25:14; 1Sa 25:18; 1Sa 25:23; 1Sa 25:32; 1Sa 25:36; 1Sa 25:39; 1Sa 25:40; 1Sa 25:42; 1Sa 27:3; 1Sa 30:5; 2Sa 2:2; 2Sa 3:3; 2Sa 17:25; 1Ch 2:16; 1Ch 2:17; 1Ch 3:1"
E00048,abihail,6,6,,"Num 3:35; 1Ch 2:29; 1Ch 5:14; 2Ch 11:18; Est 2:15; Est 9:29"
E00049,abihu,12,12,,"Exo 6:23; Exo 24:1; Exo 24:9; Exo 28:1; Lev 10:1; Num 3:2; Num 3:4; Num 26:60; Num 26:61; 1Ch 6:3; 1Ch 24:1; 1Ch 24:2"
E00050,abihud,1,1,,"1Ch 8:3"
E00051,abijah,20,20,,"1Ki 14:1; 1Ch 24:10; 2Ch 11:20; 2Ch 11:22; 2Ch 12:16; 2Ch 13:1; 2Ch 13:2; 2Ch 13:3; 2Ch 13:4; 2Ch 13:15; 2Ch 13:17; 2Ch 13:19; 2Ch 13:20; 2Ch 13:21; 2Ch 13:22; 2Ch 14:1; 2Ch 29:1; Neh 10:7; Neh 12:4; Neh 12:17"
E00052,abijam,5,4,,"1Ki 14:31; 1Ki 15:1; 1Ki 15:7; 1Ki 15:8"
E00053,abilene,1,1,,"Luk 3:1"
E00054,ability,7,7,,"Lev 27:8; Ezr 2:69; Neh 5:8; Dan 1:4; Mat 25:15; Act 11:29; 1Pe 4:11"
E00055,abimael,2,2,,"Gen 10:28; 1Ch 1:22"
E00056,abimelech,67,62,,"Gen 20:2; Gen 20:3; Gen 20:4; Gen 20:8; Gen 20:9; Gen 20:10; Gen 20:14; Gen 20:15; Gen 20:17; Gen 20:18; Gen 21:22; Gen 21:25; Gen 21:26; Gen 21:27; Gen 21:29; Gen 21:32; Gen 26:1; Gen 26:8; Gen 26:9; Gen 26:10; Gen 26:11; Gen 26:16; Gen 26:26; Jdg 8:31; Jdg 9:1; Jdg 9:3; Jdg 9:4; Jdg 9:6; Jdg 9:16; Jdg 9:18; Jdg 9:19; Jdg 9:20; Jdg 9:21; Jdg 9:22; Jdg 9:23; Jdg 9:24; Jdg 9:25; Jdg 9:27; Jdg 9:28; Jdg 9:29; Jdg 9:31; Jdg 9:34; Jdg 9:35; Jdg 9:38; Jdg 9:39; Jdg 9:40; Jdg 9:41; Jdg 9:42; Jdg 9:44; Jdg 9:45; Jdg 9:47; Jdg 9:48; Jdg 9:49; Jdg 9:50; Jdg 9:52; Jdg 9:53; Jdg 9:55; Jdg 9:56; Jdg 10:1; 2Sa 11:21; 1Ch 18:16; Psa 34:1"
E00057,abinadab,13,12,,"1Sa 7:1; 1Sa 16:8; 1Sa 17:13; 1Sa 31:2; 2Sa 6:3; 2Sa 6:4; 1Ki 4:11; 1Ch 2:13; 1Ch 8:33; 1Ch 9:39; 1Ch 10:2; 1Ch 13:7"
E00058,abinoam,4,4,,"Jdg 4:6; Jdg 4:12; Jdg 5:1; Jdg 5:12"
E00059,abiram,11,9,,"Num 16:1; Num 16:12; Num 16:24; Num 16:25; Num 16:27; Num 26:9; Deu 11:6; 1Ki 16:34; Psa 106:17"
E00060,abishag,5,5,,"1Ki 1:3; 1Ki 1:15; 1Ki 2:17; 1Ki 2:21; 1Ki 2:22"
E00061,abishai,25,24,,"1Sa 26:6; 1Sa 26:7; 1Sa 26:8; 1Sa 26:9; 2Sa 2:18; 2Sa 2:24; 2Sa 3:30; 2Sa 10:10; 2Sa 10:14; 2Sa 16:9; 2Sa 16:11; 2Sa 18:2; 2Sa 18:5; 2Sa 18:12; 2Sa 19:21; 2Sa 20:6; 2Sa 20:10; 2Sa 21:17; 2Sa 23:18; 1Ch 2:16; 1Ch 11:20; 1Ch 18:12; 1Ch 19:11; 1Ch 19:15"
E00062,abishalom,2,2,,"1Ki 15:2; 1Ki 15:10"
E00063,abishua,5,5,,"1Ch 6:4; 1Ch 6:5; 1Ch 6:50; 1Ch 8:4; Ezr 7:5"
E00064,abishur,2,2,,"1Ch 2:28; 1Ch 2:29"
E00065,abital,2,2,,"2Sa 3:4; 1Ch 3:3"
E00066,abitub,1,1,,"1Ch 8:11"
E00067,abiud,2,1,,"Mat 1:13"
E00068,abjects,1,1,,"Psa 35:15"
E00069,able,160,155,,"Gen 13:6; Gen 15:5; Gen 33:14; Exo 10:5; Exo 18:18; Exo 18:21; Exo 18:23; Exo 18:25; Exo 40:35; Lev 5:7; Lev 5:11; Lev 12:8; Lev 14:22; Lev 14:31; Lev 14:32; Lev 25:26; Lev 25:28; Lev 25:49; Num 1:3; Num 1:20; Num 1:22; Num 1:24; Num 1:26; Num 1:28; Num 1:30; Num 1:32; Num 1:34; Num 1:36; Num 1:38; Num 1:40; Num 1:42; Num 1:45; Num 11:14; Num 13:30; Num 13:31; Num 14:16; Num 22:11; Num 22:37; Num 26:2; Deu 1:9; Deu 7:24; Deu 9:28; Deu 11:25; Deu 14:24; Deu 16:17; Jos 1:5; Jos 14:12; Jos 23:9; Jdg 8:3; 1Sa 6:20; 1Sa 17:9; 1Sa 17:33; 1Ki 3:9; 1Ki 9:21; 2Ki 3:21; 2Ki 18:23; 2Ki 18:29; 1Ch 5:18; 1Ch 9:13; 1Ch 26:8; 1Ch 29:14; 2Ch 2:6; 2Ch 7:7; 2Ch 20:6; 2Ch 20:37; 2Ch 25:5; 2Ch 25:9; 2Ch 32:13; 2Ch 32:14; 2Ch 32:15; Ezr 10:13; Neh 4:10; Job 41:10; Psa 18:38; Psa 21:11; Psa 36:12; Psa 40:12; Pro 27:4; Ecc 8:17; Isa 36:8; Isa 36:14; Isa 47:11; Isa 47:12; Jer 10:10; Jer 11:11; Jer 49:10; Lam 1:14; Eze 7:19; Eze 33:12; Eze 46:5; Eze 46:11; Dan 2:26; Dan 3:17; Dan 4:18; Dan 4:37; Dan 6:20; Amo 7:10; Zep 1:18; Mat 3:9; Mat 9:28"
E00070,abner,63,53,,"1Sa 14:50; 1Sa 14:51; 1Sa 17:55; 1Sa 17:57; 1Sa 20:25; 1Sa 26:5; 1Sa 26:7; 1Sa 26:14; 1Sa 26:15; 2Sa 2:8; 2Sa 2:12; 2Sa 2:14; 2Sa 2:17; 2Sa 2:19; 2Sa 2:20; 2Sa 2:21; 2Sa 2:22; 2Sa 2:23; 2Sa 2:24; 2Sa 2:25; 2Sa 2:26; 2Sa 2:29; 2Sa 2:30; 2Sa 2:31; 2Sa 3:6; 2Sa 3:7; 2Sa 3:8; 2Sa 3:9; 2Sa 3:11; 2Sa 3:12; 2Sa 3:16; 2Sa 3:17; 2Sa 3:19; 2Sa 3:20; 2Sa 3:21; 2Sa 3:22; 2Sa 3:23; 2Sa 3:24; 2Sa 3:25; 2Sa 3:26; 2Sa 3:27; 2Sa 3:28; 2Sa 3:30; 2Sa 3:31; 2Sa 3:32; 2Sa 3:33; 2Sa 3:37; 2Sa 4:1; 2Sa 4:12; 1Ki 2:5; 1Ki 2:32; 1Ch 26:28; 1Ch 27:21"
E00071,aboard,1,1,,"Act 21:2"
E00072,abode,69,67,,"Gen 29:14; Gen 49:24; Exo 24:16; Exo 40:35; Num 9:17; Num 9:18; Num 9:20; Num 9:21; Num 9:22; Num 11:35; Num 20:1; Num 22:8; Num 25:1; Deu 1:46; Deu 3:29; Deu 9:9; Jos 2:22; Jos 5:8; Jos 8:9; Jdg 5:17; Jdg 11:17; Jdg 19:4; Jdg 20:47; Jdg 21:2; 1Sa 1:23; 1Sa 7:2; 1Sa 13:16; 1Sa 22:6; 1Sa 23:14; 1Sa 23:18; 1Sa 23:25; 1Sa 25:13; 1Sa 26:3; 1Sa 30:10; 2Sa 1:1; 2Sa 11:12; 2Sa 15:8; 1Ki 17:19; 2Ki 19:27; Ezr 8:15; Ezr 8:32; Isa 37:28; Jer 38:28; Mat 17:22; Luk 1:56; Luk 8:27; Luk 21:37; Joh 1:32; Joh 1:39; Joh 4:40; Joh 7:9; Joh 8:44; Joh 10:40; Joh 11:6; Joh 14:23; Act 1:13; Act 12:19; Act 14:3; Act 14:28; Act 17:14; Act 18:3; Act 20:3; Act 20:6; Act 21:7; Act 21:8; Gal 1:18; 2Ti 4:20"
E00073,abodest,1,1,,"Jdg 5:16"
E00074,abolish,1,1,,"Isa 2:18"
E00075,abolished,5,5,,"Isa 51:6; Eze 6:6; 2Co 3:13; Eph 2:15; 2Ti 1:10"
